taxonID,Scientific.Name.with.Author,Common.Name,Family,jenkins_model,habit
RUPA,Rubus parviflorus Nutt.,thimbleberry,Rosaceae,,shrub
RUPE3,Rubus pensilvanicus Poir.,Pennsylvania blackberry,Rosaceae,,shrub
RUPH,Rubus phoenicolasius Maxim.,wine raspberry,Rosaceae,,shrub
RUSP,Rubus spectabilis Pursh,salmonberry,Rosaceae,,shrub
SOAM3,Sorbus americana Marshall,American mountain ash,Rosaceae,woodland,shrub/tree
SPAL2,Spiraea alba Du Roi,white meadowsweet,Rosaceae,,shrub
SPALL,Spiraea alba Du Roi var. latifolia (Aiton) Dippel,white meadowsweet,Rosaceae,,shrub
SPDOD,Spiraea douglasii Hook. var. douglasii,rose spirea,Rosaceae,,shrub
SPST3,Spiraea stevenii (C.K. Schneid.) Rydb.,beauverd spirea,Rosaceae,,shrub
ANAC4,Antirhea acutata (DC.) Urb.,placa chiquitu,Rubiaceae,,shrub
CAPA43,Catesbaea parviflora Sw.,smallflower lilythorn,Rubiaceae,,shrub
CEPHA,Cephalanthus L.,buttonbush,Rubiaceae,,shrub
CEOC2,Cephalanthus occidentalis L.,common buttonbush,Rubiaceae,,shrub
CHAL8,Chiococca alba (L.) Hitchc.,West Indian milkberry,Rubiaceae,,shrub
COER3,Coprosma ernodeoides A. Gray,'aiakanene,Rubiaceae,,shrub
COPRO,Coprosma J.R. Forst. & G. Forst.,mirrorplant,Rubiaceae,,shrub
COMO3,Coprosma montana Hillebr.,alpine mirrorplant,Rubiaceae,,shrub
COOC3,Coprosma ochracea W.R.B. Oliv.,Maui mirrorplant,Rubiaceae,,shrub
ERFR4,Erithalis fruticosa L.,blacktorch,Rubiaceae,,shrub
EXCA,Exostema caribaeum (Jacq.) Schult.,Caribbean princewood,Rubiaceae,,shrub
GUEL,Guettarda elliptica Sw.,hammock velvetseed,Rubiaceae,,shrub
GUKR,Guettarda krugii Urb.,frogwood,Rubiaceae,,shrub
HETE21,Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & D.R. Herbst,variable starviolet,Rubiaceae,,shrub
MAPO6,Machaonia portoricensis Baill.,Puerto Rico alfilerillo,Rubiaceae,,shrub
PSHA3,Psychotria hawaiiensis (A. Gray) Fosberg,kopiko 'ula,Rubiaceae,,shrub
RAAC,Randia aculeata L.,white indigoberry,Rubiaceae,,shrub
RAPO2,Randia portoricensis (Urb.) Britton & Standl.,Puerto Rico indigoberry,Rubiaceae,,shrub
ROIN4,Rondeletia inermis (Spreng.) Krug & Urb.,cordobancillo,Rubiaceae,,shrub
AMEL,Amyris elemifera L.,sea torchwood,Rutaceae,,shrub
MELIC3,Melicope (J.R. Forst. & G. Forst.) T.G. Hartley & B.C. Stone,melicope,Rutaceae,,shrub
MECL,Melicope clusiifolia (A. Gray) T.G. Hartley & B.C. Stone,kukaemoa,Rutaceae,,shrub
MERA2,Melicope radiata (H. St. John) T.G. Hartley & B.C. Stone,kapu melicope,Rutaceae,,shrub
MUEX2,Murraya exotica L.,Chinese box,Rutaceae,,shrub
POTR4,Poncirus trifoliata (L.) Raf.,hardy orange,Rutaceae,woodland,shrub/tree
TEDA,Tetradium daniellii (Benn.) T.G. Hartley,bee-bee tree,Rutaceae,woodland,shrub/tree
ZAAM,Zanthoxylum americanum Mill.,common pricklyash,Rutaceae,woodland,shrub/tree
POBA2,Populus balsamifera L.,balsam poplar,Salicaceae,aspen/alder/cottonwood/willow,tree
PODE3,Populus deltoides W. Bartram ex Marshall,eastern cottonwood,Salicaceae,aspen/alder/cottonwood/willow,tree
POGR4,Populus grandidentata Michx.,bigtooth aspen,Salicaceae,aspen/alder/cottonwood/willow,tree
POPUL,Populus L.,cottonwood,Salicaceae,aspen/alder/cottonwood/willow,tree
POTR5,Populus tremuloides Michx.,quaking aspen,Salicaceae,aspen/alder/cottonwood/willow,tree
SAAL,Salix alaxensis (Andersson) Coville,feltleaf willow,Salicaceae,aspen/alder/cottonwood/willow,tree
SABE2,Salix bebbiana Sarg.,Bebb willow,Salicaceae,aspen/alder/cottonwood/willow,tree
SACA4,Salix candida Fluegg̩ ex Willd.,sageleaf willow,Salicaceae,aspen/alder/cottonwood/willow,tree
SAGL,Salix glauca L.,grayleaf willow,Salicaceae,aspen/alder/cottonwood/willow,tree
SAHA,Salix hastata L.,halberd willow,Salicaceae,aspen/alder/cottonwood/willow,tree
SALIX,Salix L.,willow,Salicaceae,aspen/alder/cottonwood/willow,tree
SAMY,Salix myrtillifolia Andersson,blueberry willow,Salicaceae,aspen/alder/cottonwood/willow,tree
SANI,Salix nigra Marshall,black willow,Salicaceae,aspen/alder/cottonwood/willow,tree
SAPE2,Salix pedicellaris Pursh,bog willow,Salicaceae,aspen/alder/cottonwood/willow,tree
SAPE5,Salix petiolaris Sm.,meadow willow,Salicaceae,aspen/alder/cottonwood/willow,tree
SAPU15,Salix pulchra Cham.,tealeaf willow,Salicaceae,aspen/alder/cottonwood/willow,tree
SAPY,Salix pyrifolia Andersson,balsam willow,Salicaceae,aspen/alder/cottonwood/willow,tree
SARI4,Salix richardsonii Hook.,Richardson's willow,Salicaceae,aspen/alder/cottonwood/willow,tree
SASC,Salix scouleriana Barratt ex Hook.,Scouler's willow,Salicaceae,aspen/alder/cottonwood/willow,tree
PYPU,Pyrularia pubera Michx.,buffalo nut,Santalaceae,,shrub
MEBI,Melicoccus bijugatus Jacq.,Spanish lime,Sapindaceae,,shrub
SEPO4,Serjania polyphylla (L.) Radlk.,basketwood,Sapindaceae,,shrub
THSTP,Thouinia striata Radlk. var. portoricensis (Radlk.) Votava & Alain,Puerto Rico ceboruquillo,Sapindaceae,,shrub
SIDER2,Sideroxylon L.,bully,Sapotaceae,,shrub
SILA20,Sideroxylon lanuginosum Michx.,gum bully,Sapotaceae,,shrub
SILAL3,Sideroxylon lanuginosum Michx. ssp. lanuginosum,gum bully,Sapotaceae,,shrub
SILY,Sideroxylon lycioides L.,buckthorn bully,Sapotaceae,,shrub
SIOB,Sideroxylon obovatum Lam.,breakbill,Sapotaceae,,shrub
SISA6,Sideroxylon salicifolium (L.) Lam.,white bully,Sapotaceae,,shrub
SITE2,Sideroxylon tenax L.,tough bully,Sapotaceae,,shrub
PATO2,Paulownia tomentosa (Thunb.) Siebold & Zucc. ex Steud.,princesstree,Scrophulariaceae,mixed hardwood,tree
AIAL,Ailanthus altissima (Mill.) Swingle,tree of heaven,Simaroubaceae,mixed hardwood,tree
SMAU,Smilax auriculata Walter,earleaf greenbrier,Smilacaceae,,vine
SMGL,Smilax glauca Walter,cat greenbrier,Smilacaceae,,vine
SMILA2,Smilax L.,greenbrier,Smilacaceae,,vine
SMLA,Smilax laurifolia L.,laurel greenbrier,Smilacaceae,,vine
SMRO,Smilax rotundifolia L.,roundleaf greenbrier,Smilacaceae,,vine
SMSM,Smilax smallii Morong,lanceleaf greenbrier,Smilacaceae,,vine
DAWR2,Datura wrightii Regel,sacred thorn-apple,Solanaceae,,vine
LYBE,Lycium berlandieri Dunal,Berlandier's wolfberry,Solanaceae,,vine
LYEX,Lycium exsertum A. Gray,Arizona desert-thorn,Solanaceae,,vine
LYCIU,Lycium L.,desert-thorn,Solanaceae,,vine
FRCA6,Fremontodendron californicum (Torr.) Coville,California flannelbush,Sterculiaceae,woodland,shrub/tree
HEJA,Helicteres jamaicensis Jacq.,screwtree,Sterculiaceae,woodland,shrub/tree
HACA3,Halesia carolina L.,Carolina silverbell,Styracaceae,woodland,shrub/tree
HADI3,Halesia diptera Ellis,two-wing silverbell,Styracaceae,woodland,shrub/tree
HATE3,Halesia tetraptera Ellis,mountain silverbell,Styracaceae,woodland,shrub/tree
STAM4,Styrax americanus Lam.,American snowbell,Styracaceae,woodland,shrub/tree
SYTI,Symplocos tinctoria (L.) L'H̩r.,common sweetleaf,Symplocaceae,woodland,shrub/tree
TABR2,Taxus brevifolia Nutt.,Pacific yew,Taxaceae,cedar/larch,tree
TAXUS,Taxus L.,yew,Taxaceae,cedar/larch,tree
GOLA,Gordonia lasianthus (L.) Ellis,loblolly bay,Theaceae,woodland,shrub/tree
JABE,Jacquinia berteroi Spreng.,bois bande,Theophrastaceae,woodland,shrub/tree
JACQU2,Jacquinia L.,jacquinia,Theophrastaceae,woodland,shrub/tree
DIPA9,Dirca palustris L.,eastern leatherwood,Thymelaeaceae,woodland,shrub/tree
WISA,Wikstroemia sandwicensis Meisn.,variableleaf false ohelo,Thymelaeaceae,woodland,shrub/tree
TIAM,Tilia americana L.,American basswood,Tiliaceae,mixed hardwood,tree
TUDI,Turnera diffusa Willd. ex Schult.,damiana,Turneraceae,,shrub
CEEH,Celtis ehrenbergiana (Klotzsch) Liebm.,spiny hackberry,Ulmaceae,,shrub
CELTI,Celtis L.,hackberry,Ulmaceae,mixed hardwood,tree
CELA,Celtis laevigata Willd.,sugarberry,Ulmaceae,mixed hardwood,tree
CEOC,Celtis occidentalis L.,common hackberry,Ulmaceae,mixed hardwood,tree
PLAQ,Planera aquatica J.F. Gmel.,planertree,Ulmaceae,mixed hardwood,tree
ULAL,Ulmus alata Michx.,winged elm,Ulmaceae,mixed hardwood,tree
ULAM,Ulmus americana L.,American elm,Ulmaceae,mixed hardwood,tree
ULCR,Ulmus crassifolia Nutt.,cedar elm,Ulmaceae,mixed hardwood,tree
ULMUS,Ulmus L.,elm,Ulmaceae,mixed hardwood,tree
ULPU,Ulmus pumila L.,Siberian elm,Ulmaceae,mixed hardwood,tree
ULRU,Ulmus rubra Muhl.,slippery elm,Ulmaceae,mixed hardwood,tree
ACFA,Vachellia farnesiana,sweet acacia,Vachellia,mixed hardwood,tree
CAAM2,Callicarpa americana L.,American beautyberry,Verbenaceae,,shrub
LACA2,Lantana camara L.,lantana,Verbenaceae,,shrub
LAEX,Lantana exarata Urb. & Ekman,Caribbean shrubverbena,Verbenaceae,,shrub
LANTA,Lantana L.,lantana,Verbenaceae,,shrub
LARE2,Lantana reticulata Pers.,netted shrubverbena,Verbenaceae,,shrub
VIRO2,Viola rotundifolia Michx.,roundleaf yellow violet,Violaceae,,forb/herb
CITR2,Cissus trifoliata (L.) L.,sorrelvine,Vitaceae,,vine
PAQU2,Parthenocissus quinquefolia (L.) Planch.,Virginia creeper,Vitaceae,,forb/herb
VIAE,Vitis aestivalis Michx.,summer grape,Vitaceae,,vine
VICI2,Vitis cinerea (Engelm.) Engelm. ex Millard,graybark grape,Vitaceae,,vine
VITIS,Vitis L.,grape,Vitaceae,,vine
VILA8,Vitis labrusca L.,fox grape,Vitaceae,,vine
VIRI,Vitis riparia Michx.,riverbank grape,Vitaceae,,vine
VIRO3,Vitis rotundifolia Michx.,muscadine,Vitaceae,,vine
GUAIA,Guaiacum L.,lignum-vitae,Zygophyllaceae,,shrub
GUOF,Guaiacum officinale L.,lignum-vitae,Zygophyllaceae,,shrub
GUSA,Guaiacum sanctum L.,holywood,Zygophyllaceae,,shrub
LATR2,Larrea tridentata (DC.) Coville,creosote bush,Zygophyllaceae,,shrub
2PLANT,,,,mixed hardwood,tree
2PLANT-H,,,,,forb/herb
2PLANT-S,,,,,shrub
