Common name,Genus,Species,"FIA
Code",Wood Specific gravity (green volume basis dry weight),,"Avg. moisture content of wood as a
% of oven- dry weight","Avg. moisture content of bark as a
% of oven- dry weight",Wood Specific gravity (12 pct MC volume basis dry weight),
"European plum, domesticated",Prunus,domestica,773,0.47,0.63,53.00,91.00,0.5,9.2
"Mahaleb cherry, domesticated",Prunus,mahaleb,774,0.47,0.63,53.00,91.00,0.5,9.2
Oak spp,Quercus,spp.,800,0.59,0.58,75.00,83.00,0.66,19.1
California live oak,Quercus,agrifolia,801,0.59,0.58,75.00,83.00,0.66,19.1
White oak,Quercus,alba,802,0.6,0.56,68.00,89.00,0.68,16
Arizona white oak,Quercus,arizonica,803,0.59,0.58,75.00,83.00,0.66,19.1
Swamp white oak,Quercus,bicolor,804,0.64,0.55,58.00,89.00,0.72,16
Canyon live oak,Quercus,chrysolepis,805,0.7,0.64,74.00,90.00,0.74,16
Scarlet oak,Quercus,coccinea,806,0.6,0.71,71.00,49.00,0.67,22
Blue oak,Quercus,douglasii,807,0.59,0.58,75.00,83.00,0.66,19.1
Durand oak,Quercus,sinuata,808,0.59,0.58,75.00,83.00,0.66,19.1
Northern pin oak,Quercus,ellipsoidalis,809,0.59,0.58,75.00,83.00,0.66,19.1
Emory oak,Quercus,emoryi,810,0.59,0.58,75.00,83.00,0.66,19.1
Engelmann oak,Quercus,engelmannii,811,0.59,0.58,75.00,83.00,0.66,19.1
Southern red oak,Quercus,falcata,812,0.52,0.68,97.00,48.00,0.59,22
Cherrybark oak,Quercus,pagoda,813,0.61,0.63,68.00,91.00,0.69,22
Gambel oak,Quercus,gambelii,814,0.61,0.63,66.00,66.00,0.63,22
Oregon white oak,Quercus,garryana,815,0.64,0.63,58.00,65.00,0.72,16
Scrub oak,Quercus,ilicifolia,816,0.59,0.58,75.00,83.00,0.66,19.1
Shingle oak,Quercus,imbricaria,817,0.59,0.58,75.00,83.00,0.66,19.1
California black oak,Quercus,kelloggii,818,0.51,0.45,101.00,89.00,0.55,22
Turkey oak,Quercus,laevis,819,0.59,0.58,75.00,83.00,0.66,19.1
Laurel oak,Quercus,laurifolia,820,0.56,0.5,83.00,121.00,0.63,16
California white oak,Quercus,lobata,821,0.55,0.55,84.00,89.00,0.58,16
Overcup oak,Quercus,lyrata,822,0.57,0.51,77.00,89.00,0.63,22
Bur oak,Quercus,macrocarpa,823,0.58,0.54,74.00,90.00,0.64,16
Blackjack oak,Quercus,marilandica,824,0.59,0.58,75.00,83.00,0.66,19.1
Swamp chestnut oak,Quercus,michauxii,825,0.6,0.51,68.00,89.00,0.67,23
Chinkapin oak,Quercus,muehlenbergii,826,0.59,0.58,75.00,83.00,0.66,19.1
Water oak,Quercus,nigra,827,0.56,0.62,83.00,73.00,0.63,16
Texas red oak,Quercus,texana,828,0.59,0.58,75.00,83.00,0.66,19.1
Mexican blue oak,Quercus,oblongifolia,829,0.59,0.58,75.00,83.00,0.66,19.1
Pin oak,Quercus,palustris,830,0.58,0.6,77.00,90.00,0.63,22
Willow oak,Quercus,phellos,831,0.56,0.59,83.00,90.00,0.69,16
Chestnut oak,Quercus,prinus,832,0.57,0.54,77.00,60.00,0.66,23
Northern red oak,Quercus,rubra,833,0.56,0.68,83.00,91.00,0.63,20
Shumard oak,Quercus,shumardii,834,0.59,0.58,75.00,83.00,0.66,19.1
Post oak,Quercus,stellata,835,0.6,0.51,71.00,89.00,0.67,22
Delta post oak,Quercus,similis,836,0.59,0.58,75.00,83.00,0.66,19.1
Black oak,Quercus,velutina,837,0.56,0.6,83.00,90.00,0.61,18.5
Live oak,Quercus,virginiana,838,0.8,0.51,52.00,89.00,0.88,16
Interior live oak,Quercus,wislizeni,839,0.59,0.58,75.00,83.00,0.66,19.1
Dwarf post oak,Quercus,margarettiae,840,0.59,0.58,75.00,83.00,0.66,19.1
Dwarf live oak,Quercus,minima,841,0.59,0.58,75.00,83.00,0.66,19.1
Bluejack oak,Quercus,incana,842,0.59,0.58,75.00,83.00,0.66,19.1
Silverleaf oak,Quercus,hypoleucoides,843,0.59,0.58,75.00,83.00,0.66,19.1
Oglethorpe oak,Quercus,oglethorpensis,844,0.59,0.58,75.00,83.00,0.66,19.1
Dwarf chinkapin oak,Quercus,prinoides,845,0.59,0.58,75.00,83.00,0.66,19.1
Gray oak,Quercus,grisea,846,0.59,0.58,75.00,83.00,0.66,19.1
Netleaf oak,Quercus,rugosa,847,0.59,0.58,75.00,83.00,0.66,19.1
Chisos oak,Quercus,graciliformis,851,0.59,0.58,75.00,83.00,0.66,19.1
Sea torchwood,Amyris,elemifera,852,0.52,0.53,75.00,80.00,0.58,15.2
Pond-apple,Annona,glabra,853,0.52,0.53,75.00,80.00,0.58,15.2
Gumbo limbo,Bursera,simaruba,854,0.52,0.53,75.00,80.00,0.58,15.2
Sheoak spp.,Casuarina,spp.,855,0.52,0.53,75.00,80.00,0.58,15.2
Gray sheoak,Casuarina,glauca,856,0.52,0.53,75.00,80.00,0.58,15.2
Belah,Casuarina,lepidophloia,857,0.52,0.53,75.00,80.00,0.58,15.2
Camphortree,Cinnamomum,camphora,858,0.52,0.53,75.00,80.00,0.58,15.2
Florida fiddlewood,Citharexylum,fruticosum,859,0.52,0.53,75.00,80.00,0.58,15.2
Citrus spp.,Citrus,spp.,860,0.52,0.53,75.00,80.00,0.58,15.2
"Tietongue, pigeon-plum",Coccoloba,diversifolia,863,0.52,0.53,75.00,80.00,0.58,15.2
Soldierwood,Colubrina,elliptica,864,0.52,0.53,75.00,80.00,0.58,15.2
Largeleaf geigertree,Cordia,sebestena,865,0.52,0.53,75.00,80.00,0.58,15.2
Carrotwood,Cupaniopsis,anacardioides,866,0.52,0.53,75.00,80.00,0.58,15.2
Bluewood,Condalia,hookeri,867,0.52,0.53,75.00,80.00,0.58,15.2
Blackbead ebony,Ebenopsis,ebano,868,0.52,0.53,75.00,80.00,0.58,15.2
Great leucaene,Leucaena,pulverulenta,869,0.52,0.53,75.00,80.00,0.58,15.2
Texas sophora,Sophora,affinis,870,0.52,0.53,75.00,80.00,0.58,15.2
Red stopper,Eugenia,rhombea,873,0.52,0.53,75.00,80.00,0.58,15.2
"Butterbough, inkwood",Exothea,paniculata,874,0.52,0.53,75.00,80.00,0.58,15.2
Florida strangler fig,Ficus,aurea,876,0.52,0.53,75.00,80.00,0.58,15.2
"Wild banyantree, shortleaf fig",Ficus,citrifolia,877,0.52,0.53,75.00,80.00,0.58,15.2
"Beeftree, longleaf blolly",Guapira,discolor,882,0.52,0.53,75.00,80.00,0.58,15.2
Manchineel,Hippomane,mancinella,883,0.52,0.53,75.00,80.00,0.58,15.2
False tamarind,Lysiloma,latisiliquum,884,0.52,0.53,75.00,80.00,0.58,15.2
Mango,Mangifera,indica,885,0.52,0.53,75.00,80.00,0.58,15.2
Florida poisontree,Metopium,toxiferum,886,0.52,0.53,75.00,80.00,0.58,15.2
Fishpoison tree,Piscidia,piscipula,887,0.52,0.53,75.00,80.00,0.58,15.2
"Octopus tree, schefflera",Schefflera,actinophylla,888,0.52,0.53,75.00,80.00,0.58,15.2
False mastic,Sideroxylon,foetidissimum,890,0.52,0.53,75.00,80.00,0.58,15.2
"White bully, willow bustic",Sideroxylon,salicifolium,891,0.52,0.53,75.00,80.00,0.58,15.2
Paradisetree,Simarouba,glauca,895,0.52,0.53,75.00,80.00,0.58,15.2
Java plum,Syzygium,cumini,896,0.52,0.53,75.00,80.00,0.58,15.2
Tamarind,Tamarindus,indica,897,0.52,0.53,75.00,80.00,0.58,15.2
Black locust,Robinia,pseudoacacia,901,0.66,0.29,41.00,88.00,0.69,15
New Mexico locust,Robinia,neomexicana,902,0.66,0.29,41.00,88.00,0.69,15
"Everglades palm, paurotis-palm",Acoelorraphe,wrightii,906,0.52,0.53,75.00,80.00,0.58,15.2
Florida silver palm,Coccothrinax,argentata,907,0.52,0.53,75.00,80.00,0.58,15.2
Coconut palm,Cocos,nucifera,908,0.52,0.53,75.00,80.00,0.58,15.2
Royal palm spp.,Roystonea,spp.,909,0.52,0.53,75.00,80.00,0.58,15.2
Mexican palmetto,Sabal,mexicana,911,0.52,0.53,75.00,80.00,0.58,15.2
Cabbage palmetto,Sabal,palmetto,912,0.52,0.53,75.00,80.00,0.58,15.2
Key thatch palm,Thrinax,morrisii,913,0.52,0.53,75.00,80.00,0.58,15.2
Florida thatch palm,Thrinax,radiata,914,0.52,0.53,75.00,80.00,0.58,15.2
Other palms,Family Arecaceae,not listed above,915,0.52,0.53,75.00,80.00,0.58,15.2
Western soapberry,Sapindus,saponaria,919,0.52,0.53,75.00,80.00,0.58,15.2
Willow spp.,Salix,spp.,920,0.36,0.5,127.00,99.00,0.39,16
Peachleaf willow,Salix,amygdaloides,921,0.36,0.5,127.00,99.00,0.39,16
Black willow,Salix,nigra,922,0.36,0.5,127.00,99.00,0.39,16
Bebb willow,Salix,bebbiana,923,0.36,0.5,127.00,99.00,0.39,16
Bonpland willow,Salix,bonplandiana,924,0.36,0.5,127.00,99.00,0.39,16
Coastal plain willow,Salix,caroliniana,925,0.36,0.5,127.00,99.00,0.39,16
Balsam willow,Salix,pyrifolia,926,0.36,0.5,127.00,99.00,0.39,16
White willow,Salix,alba,927,0.36,0.5,127.00,99.00,0.39,16
Scouler’s willow,Salix,scouleriana,928,0.36,0.5,127.00,99.00,0.39,16
Weeping willow,Salix,sepulcralis,929,0.36,0.5,127.00,99.00,0.39,16
Sassafras,Sassafras,albidum,931,0.42,0.5,68.00,89.00,0.46,15
Mountain-ash spp.,Sorbus,spp.,934,0.52,0.53,75.00,80.00,0.58,15.2
American mountain-ash,Sorbus,americana,935,0.52,0.53,75.00,80.00,0.58,15.2
European mountain-ash,Sorbus,aucuparia,936,0.52,0.53,75.00,80.00,0.58,15.2
Northern mountain-ash,Sorbus,decora,937,0.52,0.53,75.00,80.00,0.58,15.2
West Indian mahogany,Swietenia,mahagoni,940,0.52,0.53,75.00,80.00,0.58,15.2
Basswood spp.,Tilia,spp.,950,0.32,0.48,105.00,90.00,0.37,10.5
American basswood,Tilia,americana,951,0.32,0.48,105.00,90.00,0.37,10.5
White basswood,Tilia,americana,952,0.32,0.48,105.00,90.00,0.37,10.5
Carolina basswood,Tilia,americana,953,0.32,0.48,105.00,90.00,0.37,10.5
Elm spp.,Ulmus,spp.,970,0.54,0.43,66.00,91.00,0.59,14
Winged elm,Ulmus,alata,971,0.6,0.45,42.00,75.00,0.66,14
American elm,Ulmus,americana,972,0.46,0.44,94.00,78.00,0.5,14
Cedar elm,Ulmus,crassifolia,973,0.59,0.45,66.00,75.00,0.64,14
Siberian elm,Ulmus,pumila,974,0.54,0.43,66.00,91.00,0.59,14
Slippery elm,Ulmus,rubra,975,0.48,0.29,77.00,171.00,0.53,14
September elm,Ulmus,serotina,976,0.54,0.43,66.00,91.00,0.59,14
Rock elm,Ulmus,thomasii,977,0.57,0.5,51.00,57.00,0.63,14
California-laurel,Umbellularia,californica,981,0.51,0.55,67.00,43.00,0.55,15
Joshua tree,Yucca,brevifolia,982,0.52,0.53,75.00,80.00,0.58,15.2
Black-mangrove,Avicennia,germinans,986,0.52,0.53,75.00,80.00,0.58,15.2
Buttonwood-mangrove,Conocarpus,erectus,987,0.52,0.53,75.00,80.00,0.58,15.2
White-mangrove,Laguncularia,racemosa,988,0.52,0.53,75.00,80.00,0.58,15.2
American mangrove,Rhizophora,mangle,989,0.52,0.53,75.00,80.00,0.58,15.2
Desert ironwood,Olneya,tesota,990,0.52,0.53,75.00,80.00,0.58,15.2
Saltcedar,Tamarix,spp.,991,0.52,0.53,75.00,80.00,0.58,15.2
Melaleuca,Melaleuca,quinquenervia,992,0.52,0.53,75.00,80.00,0.58,15.2
Chinaberry,Melia,azedarach,993,0.52,0.53,75.00,80.00,0.58,15.2
Chinese tallowtree,Triadica,sebifera,994,0.52,0.53,75.00,80.00,0.58,15.2
Tungoil tree,Vernicia,fordii,995,0.52,0.53,75.00,80.00,0.58,15.2
Smoketree,Cotinus,obovatus,996,0.52,0.53,75.00,80.00,0.58,15.2
Russian-olive,Elaeagnus,angustifolia,997,0.52,0.53,75.00,80.00,0.58,15.2
Unknown dead hardwood,Tree,broadleaf,998,0.52,0.53,75.00,80.00,0.58,15.2
Other or unknown live tree,Tree,unknown,999,0.52,0.53,75.00,80.00,0.58,15.2
Washington hawthorn,Crataegus,phaenopyrum,5091,0.52,0.53,75.00,80.00,0.58,15.2
Fleshy hawthorn,Crataegus,succulenta,5092,0.52,0.53,75.00,80.00,0.58,15.2
Dwarf hawthorn,Crataegus,uniflora,5093,0.52,0.53,75.00,80.00,0.58,15.2
Berlandier ash,Fraxinus,berlandieriana,5491,0.51,0.46,61.00,86.00,0.55,16
Avocado,Persea,americana,7211,0.52,0.53,75.00,80.00,0.58,15.2
Graves oak,Quercus,gravesii,8511,0.59,0.58,75.00,83.00,0.66,19.1
Mexican white oak,Quercus,polymorpha,8512,0.59,0.58,75.00,83.00,0.66,19.1
Buckley oak,Quercus,buckleyi,8513,0.59,0.58,75.00,83.00,0.66,19.1
Lacey oak,Quercus,laceyi,8514,0.59,0.58,75.00,83.00,0.66,19.1
Anacahuita Texas Olive,Cordia,boissieri,8651,0.52,0.53,75.00,80.00,0.58,15.2
