Master Species List (MSL),Islands Only Species (IOS) - Not valid on the Mainland,Mainland NFS P2/3 Sub-lists - Not valid on P2/3 plots within a specific NFS Region,Woodland,FIA Code,Common Name,Genus,Species,VARIETY,SUBSPECIES,PLANTS Code,Past NRS Tally,Past PNW Tally,Past RMRS Tally,Past SRS Tally,Caribbean,Pacific,Urban,Historic  P2
MSL,.,.,.,6737,clammy cherry,Cordia,obliqua,.,.,COOB3,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6738,San Bartolome,Cordia,rickseckeri,.,.,CORI,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,865,largeleaf geigertree,Cordia,sebestena,.,.,COSE2,"R, U","P, U",U,"R, C, U",C,P,.,P2
MSL,.,.,.,6742,kou,Cordia,subcordata,.,.,COSU2,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6743,mucilage manjack,Cordia,sulcata,.,.,COSU3,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6744,tiplant,Cordyline,fruticosa,.,.,COFR2,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,491,flowering dogwood,Cornus,florida,.,.,COFL2,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,5591,kousa dogwood,Cornus,kousa,.,.,COKO2,U,U,U,U,.,.,U,.
MSL,.,.,.,492,Pacific dogwood,Cornus,nuttallii,.,.,CONU4,"R, U","PNWS, U","R, U",U,.,.,.,P2
MSL,.,.,.,6746,nigua,Cornutia,obovata,.,.,COOB4,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6747,azulejo,Cornutia,pyramidata,.,.,COPY2,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,5600,Turkish hazelnut,Corylus,colurna,.,.,COCO30,U,U,U,U,.,.,U,.
MSL,.,.,.,6749,redgum,Corymbia,calophylla,.,.,COCA48,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6750,Corymbia citriodora,Corymbia,citriodora,.,.,COCI4,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,6751,redflower gum,Corymbia,ficifolia,.,.,COFI7,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6752,red bloodwood,Corymbia,gummifera,.,.,COGU4,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6754,karaka nut,Corynocarpus,laevigatus,.,.,COLA6,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,5603,European smoketree,Cotinus,coggygria,.,.,COCO10,U,U,U,U,.,.,U,.
MSL,.,.,.,996,smoketree,Cotinus,obovatus,.,.,COOB2,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,6756,cannonball tree,Couroupita,guianensis,.,.,COGU3,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,503,Brainerd's hawthorn,Crataegus,brainerdii,.,.,CRBR3,.,U,U,U,.,.,.,P2
MSL,.,.,.,504,pear hawthorn,Crataegus,calpodendron,.,.,CRCA,.,U,U,U,.,.,.,P2
MSL,.,.,.,505,fireberry hawthorn,Crataegus,chrysocarpa,.,.,CRCH,.,U,U,U,.,.,.,P2
MSL,.,.,.,501,cockspur hawthorn,Crataegus,crus-galli,.,.,CRCR2,.,"PNWS, U",U,"R, U",.,.,.,P2
MSL,.,.,.,506,broadleaf hawthorn,Crataegus,dilatata,.,.,CRDI,.,U,U,U,.,.,.,P2
MSL,.,.,.,507,fanleaf hawthorn,Crataegus,flabellata,.,.,CRFL,.,U,U,U,.,.,.,P2
MSL,.,.,.,502,downy hawthorn,Crataegus,mollis,.,.,CRMO2,.,"PNWS, U",U,"R, U",.,.,.,P2
MSL,.,"4,5,6",.,508,oneseed hawthorn,Crataegus,monogyna,.,.,CRMO3,.,U,U,U,.,.,.,P2
MSL,.,.,.,509,scarlet hawthorn,Crataegus,pedicellata,.,.,CRPE,.,U,U,U,.,.,.,P2
MSL,.,"3,4,5,6,10",.,500,hawthorn spp.,Crataegus,spp.,.,.,CRATA,"R, U",U,U,"R, U",.,.,.,P2
MSL,.,.,.,5092,fleshy hawthorn,Crataegus,succulenta,.,.,CRSU5,.,U,U,U,.,.,.,P2
MSL,.,.,.,5093,dwarf hawthorn,Crataegus,uniflora,.,.,CRUN,.,U,U,U,.,.,.,P2
MSL,.,.,.,6758,sacred garlic pear,Crateva,religiosa,.,.,CRRE12,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6760,"houka, calabash",Crescentia,alata,.,.,CRAL11,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6761,common calabash tree,Crescentia,cujete,.,.,CRCU,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6762,higuerito,Crescentia,linearifolia,.,.,CRLI5,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6763,higuero de sierra,Crescentia,portoricensis,.,.,CRPO6,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6765,Critonia portoricensis,Critonia,portoricensis,.,.,CRPO7,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6767,maidenberry,Crossopetalum,rhacoma,.,.,CRRH,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6769,Saitamu,Crossostylis,biflora,.,.,CRBI9,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6771,longbeak rattlebox,Crotalaria,longirostrata,.,.,CRLO3,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6773,wild marrow,Croton,astroites,.,.,CRAS3,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6774,Croton flavens,Croton,flavens,.,.,CRFL23,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6775,sabinon,Croton,poecilanthus,.,.,CRPO4,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6779,laulilii,Cryptocarya,elegans,.,.,CREL8,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6781,holio,Cryptocarya,mannii,.,.,CRMA8,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6778,Cryptocarya oreophila,Cryptocarya,oreophila,.,.,CROR5,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6784,laulilii,Cryptocarya,turbinata,.,.,CRTU4,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6786,Japanese cedar,Cryptomeria,japonica,.,.,CRJA3,U,"P, U",U,"C, U",C,P,.,.
MSL,.,8,.,5776,storehousebush,Cudrania,tricuspidata,.,.,CUTR2,U,U,U,U,.,.,U,.
MSL,.,.,.,6788,Chinese fir,Cunninghamia,lanceolata,.,.,CULA,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6790,wild ackee,Cupania,americana,.,.,CUAM,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6792,guara blanca,Cupania,triquetra,.,.,CUTR,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,866,carrotwood,Cupaniopsis,anacardioides,.,.,CUAN4,"R, U",U,U,"R, U",.,.,.,P2
MSL,.,.,.,5800,Leyland cypress,Cupressocyparis,leylandii,.,.,CULE2,U,U,U,U,.,.,U,.
MSL,.,.,.,51,Arizona cypress,Cupressus,arizonica,.,.,CUAR,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,52,Baker or Modoc cypress,Cupressus,bakeri,.,.,CUBA,"R, U","PNWS, U","R, U",U,.,.,.,P2
MSL,.,.,.,53,Tecate cypress,Cupressus,forbesii,.,.,CUFO2,"R, U","PNWS, U","R, U",U,.,.,.,P2
MSL,.,.,.,6795,cedar-of-Goa,Cupressus,lusitanica,.,.,CULU2,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,56,MacNab's cypress,Cupressus,macnabiana,.,.,CUMA,"R, U","PNWS, U","R, U",U,.,.,.,P2
MSL,.,.,.,54,Monterey cypress,Cupressus,macrocarpa,.,.,CUMA2,"R, U","PNWS, U","R, U",U,.,.,.,P2
MSL,.,.,.,55,Sargent's cypress,Cupressus,sargentii,.,.,CUSA3,"R, U","PNWS, U",U,U,.,.,.,P2
MSL,.,.,.,6796,Italian cypress,Cupressus,sempervirens,.,.,CUSE2,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,6800,Haleakala cyanea,Cyanea,aculeatiflora,.,.,CYAC4,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6801,palmtree cyanea,Cyanea,arborea,.,.,CYAR10,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6802,Kauai cyanea,Cyanea,fissa,.,.,CYFI6,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6805,Degeners cyanea,Cyanea,floribunda,.,.,CYFL4,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6806,Kilauea Mauna cyanea,Cyanea,giffardii,.,.,CYGI5,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6807,wetforest cyanea,Cyanea,hamatiflora,.,.,CYHA6,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6810,Oahu cyanea,Cyanea,hardyi,.,.,CYHA7,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6811,prickly cyanea,Cyanea,horrida,.,.,CYHO6,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6812,Limahuli Valley cyanea,Cyanea,kuhihewa,.,.,CYKU3,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6813,Kunths cyanea,Cyanea,kunthiana,.,.,CYKU,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6814,giant kokee cyanea,Cyanea,leptostegia,.,.,CYLE5,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6815,purple cyanea,Cyanea,macrostegia,.,.,CYMA10,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6818,Marks cyanea,Cyanea,marksii,.,.,CYMA14,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6819,hairy cyanea,Cyanea,pilosa,.,.,CYPI4,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6822,pohaku cyanea,Cyanea,pohaku,.,.,CYPO5,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6823,Molokai cyanea,Cyanea,procera,.,.,CYPR8,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6824,manyfruit cyanea,Cyanea,pycnocarpa,.,.,CYPY,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6825,oakleaf cyanea,Cyanea,quercifolia,.,.,CYQU,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6826,plateau delissea,Cyanea,rivularis,.,.,CYRI4,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6827,pua kala,Cyanea,solenocalyx,.,.,CYSO2,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6828,cyanea,Cyanea,spp.,.,.,CYANE,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6829,Kaiholena cyanea,Cyanea,stictophylla,.,.,CYST5,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6830,Mt. Kaala cyanea,Cyanea,superba,.,.,CYSU8,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6833,aku aku,Cyanea,tritomantha,.,.,CYTR6,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6834,parrotfeather treefern,Cyathea,andina,.,.,CYAN,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6835,West Indian treefern,Cyathea,arborea,.,.,CYAR,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6837,Coopers cyathea,Cyathea,cooperi,.,.,CYCO18,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6838,olioli,Cyathea,decurrens,.,.,CYDE16,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6839,Jamaican treefern,Cyathea,furfuracea,.,.,CYFU,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6840,olioli,Cyathea,lunulata,.,.,CYLU5,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6841,olioli,Cyathea,medullaris,.,.,CYME12,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6842,kattar,Cyathea,nigricans,.,.,CYNI7,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6843,small treefern,Cyathea,parvula,.,.,CYPA7,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6844,kattar,Cyathea,ponapeana,.,.,CYPO11,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6848,helecho gigante,Cyathea,tenera,.,.,CYTE10,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6849,olioli,Cyathea,truncata,.,.,CYTR11,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6850,Cybianthus sintenisii,Cybianthus,sintenisii,.,.,CYSI,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6852,queen sago,Cycas,circinalis,.,.,CYCI3,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,6856,"Micronesian cycad, fadang",Cycas,micronesica,.,.,CYMI8,.,.,.,.,.,P,.,.
MSL,.,.,.,6853,remiang,Cycas,revoluta,.,.,CYRE11,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6855,ola,Cyclophyllum,barbatum,.,.,CYBA7,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,5818,quince,Cydonia,oblonga,.,.,CYOB2,U,U,U,U,.,.,U,.
MSL,.,.,.,6857,oreganillo falso,Cynometra,portoricensis,.,.,CYPO2,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6858,gulos,Cynometra,ramiflora,.,.,CYRA8,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6859,"eeme, aapwo",Cynometra,yokotae,.,.,CYYO,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6860,tree-tomato,Cyphomandra,betacea,.,.,CYBE3,U,"P, U",U,U,.,P,.,.
MSL,IOS,.,.,6862,swamp titi,Cyrilla,racemiflora,.,.,CYRA,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6865,forest cyrtandra,Cyrtandra,giffardii,.,.,CYGI3,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6864,Cyrtandra,Cyrtandra,ramosissima,.,.,CYRA3,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6867,candletree,Dacryodes,excelsa,.,.,DAEX,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6868,cocobolo,Dalbergia,retusa,.,.,DARE6,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6869,Indian rosewood,Dalbergia,sissoo,.,.,DASI,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6870,cocobolo,Dalbergia,tucurensis,.,.,DATU,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6871,burn nose,Daphnopsis,americana,.,.,DAAM2,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6872,Heller's cieneguillo,Daphnopsis,helleriana,.,.,DAHE2,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6873,emajagua de sierra,Daphnopsis,philippiana,.,.,DAPH,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6875,Hawaii delissea,Delissea,fallax,.,.,DEFA,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6876,cutleaf delissea,Delissea,laciniata,.,.,DELA4,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6877,Niihau delissea,Delissea,niihauensis,.,.,DENI,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6880,smallflower delissea,Delissea,parviflora,.,.,DEPA9,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6881,delissea,Delissea,spp.,.,.,DELIS,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6882,leechleaf delissea,Delissea,undulata,.,.,DEUN2,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6883,royal poinciana,Delonix,regia,.,.,DERE,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,6885,salato,Dendrocnide,harveyi,.,.,DEHA5,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6886,kahtat,Dendrocnide,latifolia,.,.,DELA13,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6888,angelica tree,Dendropanax,arboreus,.,.,DEAR,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6889,palo de vaca,Dendropanax,laurifolius,.,.,DELA3,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6891,redpalm,Dictyosperma,album,.,.,DIAL13,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6896,chulta,Dillenia,indica,.,.,DIIN6,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6898,shrubby dillenia,Dillenia,suffruticosa,.,.,DISU11,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6899,Dimocarpus longan,Dimocarpus,longan,.,.,DILO7,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6900,mabolo,Diospyros,blancoi,.,.,DIBL3,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6902,Mabolo,Diospyros,discolor,.,.,DIDI9,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6904,anume,Diospyros,elliptica,.,.,DIEL3,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6905,Diospyros ferrea,Diospyros,ferrea,.,.,DIFE5,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6906,elama,Diospyros,hillebrandii,.,.,DIHI4,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6907,persimmon,Diospyros,kaki,.,.,DIKA2,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6909,black apple,Diospyros,revoluta,.,.,DIRE6,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6910,auauli,Diospyros,samoensis,.,.,DISA16,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6911,lama,Diospyros,sandwicensis,.,.,DISA10,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6912,Chinese persimmon,Diospyros,sintenisii,.,.,DISI3,U,U,U,"C, U",C,.,.,.
MSL,.,.,w,522,Texas persimmon,Diospyros,texana,.,.,DITE3,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,521,common persimmon,Diospyros,virginiana,.,.,DIVI5,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,6921,otot,Discocalyx,ponapensis,.,.,DIPO,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6923,jaboncillo,Ditta,myricoides,.,.,DIMY,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6927,Florida hopbush,Dodonaea,viscosa,.,.,DOVI,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6928,rru,Dolichandrone,spathacea,.,.,DOSP3,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6930,Ceylon gooseberry,Dovyalis,hebecarpa,.,.,DOHE2,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,6932,fragrant dracaena,Dracaena,fragrans,.,.,DRFR2,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6933,Dracaena multiflora,Dracaena,multiflora,.,.,DRMU2,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6934,song of India,Dracaena,reflexa,.,.,DRRE6,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6937,cafeillo,Drypetes,alba,.,.,DRAL5,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6935,Drypetes carolinensis,Drypetes,carolinensis,.,.,DRCA18,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6936,Drypetes dolichocarpa,Drypetes,dolichocarpa,.,.,DRDO3,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6938,varital,Drypetes,glauca,.,.,DRGL2,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6939,rosewood,Drypetes,ilicifolia,.,.,DRIL,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6940,guiana plum,Drypetes,lateriflora,.,.,DRLA3,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6941,kevert,Drypetes,nitida,.,.,DRNI3,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6943,.,Drypetes,vitiensis,.,.,DRVI5,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6949,Drypetes yapensis,Drypetes,yapensis,.,.,DRYA,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6947,Mauna Kea dubautia,Dubautia,arborea,.,.,DUAR,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6944,Dubautia,Dubautia,demissifolia,.,.,DUDE,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6945,Dubautia,Dubautia,x fallax,.,.,DUFA2,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6948,forest dubautia,Dubautia,knudsenii,.,.,DUKN,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6952,Kauai dubautia,Dubautia,microcephala,.,.,DUMI,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6946,Dubautia,Dubautia,montana,.,.,DUMO2,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6953,plantainleaf dubautia,Dubautia,plantaginea,.,.,DUPL,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6957,netvein dubautia,Dubautia,reticulata,.,.,DURE2,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6958,dubautia,Dubautia,spp.,.,.,DUBAU,U,"P, U",U,U,.,P,.,.
MSL,.,3,.,6961,golden dewdrops,Duranta,erecta,.,.,DUER,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,6965,Durian,Durio,zibethinus,.,.,DUZI,U,"P, U",U,U,.,P,.,.
MSL,.,.,w,6966,yellow butterfly palm,Dypsis,lutescens,.,.,DYLU,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,6968,maota mea,Dysoxylum,huntii,.,.,DYHU2,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6969,maota,Dysoxylum,maota,.,.,DYMA,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6972,Dysoxylum mollissimum ssp. Molle,Dysoxylum,mollissimum,.,.,DYMOM,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6970,mamala,Dysoxylum,samoense,.,.,DYSA,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,868,Blackbead ebony,Ebenopsis,ebano,.,.,EBEB,"R, U",U,U,"R, U",.,.,.,P2
MSL,.,.,w,523,Anacua knockaway,Ehretia,anacua,.,.,EHAN,"R, U",U,U,"R, U",.,.,.,P2
MSL,.,.,.,997,Russian-olive,Elaeagnus,angustifolia,.,.,ELAN,"R, U","PNWS, U","R, U ","R, U",.,.,.,P2
MSL,.,.,.,6973,oil nut palm,Elaeis,guineensis,.,.,ELGU,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6975,kalia,Elaeocarpus,bifidus,.,.,ELBI,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6976,syatak,Elaeocarpus,carolinensis,.,.,ELCA20,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6977,`a`mati`e,Elaeocarpus,floridanus,.,.,ELFL6,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6978,Elaeocarpus graeffei,Elaeocarpus,graeffei,.,.,ELGR,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6979,sapatua,Elaeocarpus,grandis,.,.,ELGR6,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6980,joga,Elaeocarpus,joga,.,.,ELJO,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6981,Elaeocarpus kerstingianus,Elaeocarpus,kerstingianus,.,.,ELKE,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6974,Kosrae elaeocarpus,Elaeocarpus,kusaiensis,.,.,ELKU2,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6982,"maratte, opop",Elaeocarpus,kusanoi,.,.,ELKU,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6984,aamatie,Elaeocarpus,tonganus,.,.,ELTO4,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6985,Elaeocarpus,Elaeocarpus,ulianus,.,.,ELUL,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6990,taputoi,Elattostachys,falcata,.,.,ELFA3,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6994,elaeocarpa,Endiandra,elaeocarpa,.,.,ENEL,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6996,monkeysoap,Enterolobium,cyclocarpum,.,.,ENCY,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,6997,bronze loquat,Eriobotrya,deflexa,.,.,ERDE16,U,U,U,U,.,.,U,.
MSL,.,.,.,6998,loquat,Eriobotrya,japonica,.,.,ERJA3,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,7000,blacktorch,Erithalis,fruticosa,.,.,ERFR4,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,7004,machete,Erythrina,berteriana,.,.,ERBE3,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,7005,coral erythrina,Erythrina,corallodendron,.,.,ERCO22,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,7003,naked coral tree,Erythrina,coralloides,.,.,ERCO,U,U,U,U,.,.,U,.
MSL,.,.,.,7006,crybabytree,Erythrina,crista-galli,.,.,ERCR6,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,7007,cock's spur,Erythrina,eggersii,.,.,EREG,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,7008,bucayo,Erythrina,fusca,.,.,ERFU2,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,7011,mountain immortelle,Erythrina,poeppigiana,.,.,ERPO5,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,7012,wili wili,Erythrina,sandwicensis,.,.,ERSA11,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,7014,gatae palagi,Erythrina,subumbrans,.,.,ERSU15,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,7015,tiger's claw,Erythrina,variegata,.,.,ERVA7,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,7016,tiger's claw,Erythrina,variegata,orientalis,.,ERVAO,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,7017,acuminatissimum,Erythrospermum,acuminatissimum,.,.,ERAC10,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,7019,swamp-redwood,Erythroxylum,areolatum,.,.,ERAR17,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,7021,ratwood,Erythroxylum,rotundifolium,.,.,ERRO3,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,7022,rufous false cocaine,Erythroxylum,rufum,.,.,ERRU4,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,7024,Urban's false cocaine,Erythroxylum,urbanii,.,.,ERUR4,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,7025,southern mahogany,Eucalyptus,botryoides,.,.,EUBO2,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,7026,applebox,Eucalyptus,bridgesiana,.,.,EUBR2,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,512,river redgum,Eucalyptus,camaldulensis,.,.,EUCA2,"R, U","PNWS, P, U","R, U",U,.,P,.,P2
MSL,.,.,.,7028,argyle apple,Eucalyptus,cinerea,.,.,EUCI80,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,7030,sugargum,Eucalyptus,cladocalyx,.,.,EUCL,U,"P, U",U,U,.,P,U,.
MSL,.,.,.,7035,silver-dollar eucalyptus,Eucalyptus,cordata,.,.,EUCO31,U,U,U,U,.,.,U,.
MSL,.,.,.,7031,yate,Eucalyptus,cornuta,.,.,EUCO3,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,7032,narrowleaf red ironbark,Eucalyptus,crebra,.,.,EUCR,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,7033,roundleaf gum,Eucalyptus,deanei,.,.,EUDE,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,7034,Indonesian gum,Eucalyptus,deglupta,.,.,EUDE2,U,"P, U",U,"C, U",C,P,.,.
